code,description
C8495,"mature t/nk-cell lymphomas, unspecified, lymph nodes of inguinal region and lower limb"
C8496,"mature t/nk-cell lymphomas, unspecified, intrapelvic lymph nodes"
C8497,"mature t/nk-cell lymphomas, unspecified, spleen"
C8498,"mature t/nk-cell lymphomas, unspecified, lymph nodes of multiple sites"
C8499,"mature t/nk-cell lymphomas, unspecified, extranodal and solid organ sites"
C849A,"mature t/nk-cell lymphomas, unspecified, in remission"
C8510,"unspecified b-cell lymphoma, unspecified site"
C8511,"unspecified b-cell lymphoma, lymph nodes of head, face, and neck"
C8512,"unspecified b-cell lymphoma, intrathoracic lymph nodes"
C8513,"unspecified b-cell lymphoma, intra-abdominal lymph nodes"
C8514,"unspecified b-cell lymphoma, lymph nodes of axilla and upper limb"
C8515,"unspecified b-cell lymphoma, lymph nodes of inguinal region and lower limb"
C8516,"unspecified b-cell lymphoma, intrapelvic lymph nodes"
C8517,"unspecified b-cell lymphoma, spleen"
C8518,"unspecified b-cell lymphoma, lymph nodes of multiple sites"
C8519,"unspecified b-cell lymphoma, extranodal and solid organ sites"
C851A,"unspecified b-cell lymphoma, in remission"
C8520,"mediastinal (thymic) large b-cell lymphoma, unspecified site"
C8521,"mediastinal (thymic) large b-cell lymphoma, lymph nodes of head, face, and neck"
C8580,"other specified types of non-hodgkin lymphoma, unspecified site"
C8581,"other specified types of non-hodgkin lymphoma, lymph nodes of head, face, and neck"
C8590,"non-hodgkin lymphoma, unspecified, unspecified site"
C8591,"non-hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck"
C8592,"non-hodgkin lymphoma, unspecified, intrathoracic lymph nodes"
C8593,"non-hodgkin lymphoma, unspecified, intra-abdominal lymph nodes"
C8594,"non-hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb"
C8595,"non-hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb"
C8596,"non-hodgkin lymphoma, unspecified, intrapelvic lymph nodes"
C8597,"non-hodgkin lymphoma, unspecified, spleen"
C8598,"non-hodgkin lymphoma, unspecified, lymph nodes of multiple sites"
C8599,"non-hodgkin lymphoma, unspecified, extranodal and solid organ sites"
C859A,"non-hodgkin lymphoma, unspecified, in remission"
C8890,"malignant immunoproliferative disease, unspecified not having achieved remission"
C8891,"malignant immunoproliferative disease, unspecified, in remission"
C9190,"lymphoid leukemia, unspecified not having achieved remission"
C9191,"lymphoid leukemia, unspecified, in remission"
C9192,"lymphoid leukemia, unspecified, in relapse"
C9290,"myeloid leukemia, unspecified, not having achieved remission"
C9291,"myeloid leukemia, unspecified in remission"
C9292,"myeloid leukemia, unspecified in relapse"
C9390,"monocytic leukemia, unspecified, not having achieved remission"
C9391,"monocytic leukemia, unspecified in remission"
C9392,"monocytic leukemia, unspecified in relapse"
C9500,acute leukemia of unspecified cell type not having achieved remission
C9501,"acute leukemia of unspecified cell type, in remission"
C9502,"acute leukemia of unspecified cell type, in relapse"
C9510,chronic leukemia of unspecified cell type not having achieved remission
C9511,"chronic leukemia of unspecified cell type, in remission"
C9512,"chronic leukemia of unspecified cell type, in relapse"
C9590,"leukemia, unspecified not having achieved remission"
C9591,"leukemia, unspecified, in remission"
C9592,"leukemia, unspecified, in relapse"
C9620,"malignant mast cell neoplasm, unspecified"
C969,"malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified"
D0000,"carcinoma in situ of oral cavity, unspecified site"
D0140,carcinoma in situ of unspecified part of intestine
D019,"carcinoma in situ of digestive organ, unspecified"
D0220,carcinoma in situ of unspecified bronchus and lung
D024,"carcinoma in situ of respiratory system, unspecified"
D0310,"melanoma in situ of unspecified eyelid, including canthus"
D0320,melanoma in situ of unspecified ear and external auricular canal
D0330,melanoma in situ of unspecified part of face
D034,melanoma in situ of scalp and neck
D0360,"melanoma in situ of unspecified upper limb, including shoulder"
D0370,"melanoma in situ of unspecified lower limb, including hip"
D039,"melanoma in situ, unspecified"
D0410,"carcinoma in situ of skin of unspecified eyelid, including canthus"
D0420,carcinoma in situ of skin of unspecified ear and external auricular canal
D0430,carcinoma in situ of skin of unspecified part of face
D044,carcinoma in situ of skin of scalp and neck
D0460,"carcinoma in situ of skin of unspecified upper limb, including shoulder"
D0470,"carcinoma in situ of skin of unspecified lower limb, including hip"
D049,"carcinoma in situ of skin, unspecified"
D0500,lobular carcinoma in situ of unspecified breast
D0510,intraductal carcinoma in situ of unspecified breast
D0580,other specified type of carcinoma in situ of unspecified breast
D0590,unspecified type of carcinoma in situ of unspecified breast
D0591,unspecified type of carcinoma in situ of right breast
D0592,unspecified type of carcinoma in situ of left breast
D069,"carcinoma in situ of cervix, unspecified"
D0730,carcinoma in situ of unspecified female genital organs
D0760,carcinoma in situ of unspecified male genital organs
D0910,carcinoma in situ of unspecified urinary organ
D0920,carcinoma in situ of unspecified eye
D099,"carcinoma in situ, unspecified"
D1030,benign neoplasm of unspecified part of mouth
D109,"benign neoplasm of pharynx, unspecified"
D119,"benign neoplasm of major salivary gland, unspecified"
D126,"benign neoplasm of colon, unspecified"
D1330,benign neoplasm of unspecified part of small intestine
D1430,benign neoplasm of unspecified bronchus and lung
D144,"benign neoplasm of respiratory system, unspecified"
D159,"benign neoplasm of intrathoracic organ, unspecified"
D1600,benign neoplasm of scapula and long bones of unspecified upper limb
D1610,benign neoplasm of short bones of unspecified upper limb
D1620,benign neoplasm of long bones of unspecified lower limb
D1630,benign neoplasm of short bones of unspecified lower limb
D169,"benign neoplasm of bone and articular cartilage, unspecified"
D170,"benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck"
D1720,benign lipomatous neoplasm of skin and subcutaneous tissue of unspecified limb
D1730,benign lipomatous neoplasm of skin and subcutaneous tissue of unspecified sites
D179,"benign lipomatous neoplasm, unspecified"
D1800,hemangioma unspecified site
D199,"benign neoplasm of mesothelial tissue, unspecified"
D210,"benign neoplasm of connective and other soft tissue of head, face and neck"
D2110,"benign neoplasm of connective and other soft tissue of unspecified upper limb, including shoulder"
D2111,"benign neoplasm of connective and other soft tissue of right upper limb, including shoulder"
D2112,"benign neoplasm of connective and other soft tissue of left upper limb, including shoulder"
D2120,"benign neoplasm of connective and other soft tissue of unspecified lower limb, including hip"
D2121,"benign neoplasm of connective and other soft tissue of right lower limb, including hip"
D2122,"benign neoplasm of connective and other soft tissue of left lower limb, including hip"
D213,benign neoplasm of connective and other soft tissue of thorax
D214,benign neoplasm of connective and other soft tissue of abdomen
D215,benign neoplasm of connective and other soft tissue of pelvis
D216,"benign neoplasm of connective and other soft tissue of trunk, unspecified"
D219,"benign neoplasm of connective and other soft tissue, unspecified"
D2210,"melanocytic nevi of unspecified eyelid, including canthus"
D2220,melanocytic nevi of unspecified ear and external auricular canal
D2230,melanocytic nevi of unspecified part of face
D224,melanocytic nevi of scalp and neck
D2260,"melanocytic nevi of unspecified upper limb, including shoulder"
D2270,"melanocytic nevi of unspecified lower limb, including hip"
D229,"melanocytic nevi, unspecified"
D2310,"other benign neoplasm of skin of unspecified eyelid, including canthus"
D2320,other benign neoplasm of skin of unspecified ear and external auricular canal
D2330,other benign neoplasm of skin of unspecified part of face
D234,other benign neoplasm of skin of scalp and neck
D2360,"other benign neoplasm of skin of unspecified upper limb, including shoulder"
D2370,"other benign neoplasm of skin of unspecified lower limb, including hip"
D239,"other benign neoplasm of skin, unspecified"
D249,benign neoplasm of unspecified breast
D259,"leiomyoma of uterus, unspecified"
D269,"other benign neoplasm of uterus, unspecified"
D279,benign neoplasm of unspecified ovary
D289,"benign neoplasm of female genital organ, unspecified"
D2920,benign neoplasm of unspecified testis
D2930,benign neoplasm of unspecified epididymis
D299,"benign neoplasm of male genital organ, unspecified"
D3000,benign neoplasm of unspecified kidney
D3010,benign neoplasm of unspecified renal pelvis
D3020,benign neoplasm of unspecified ureter
D309,"benign neoplasm of urinary organ, unspecified"
D3100,benign neoplasm of unspecified conjunctiva
D3110,benign neoplasm of unspecified cornea
D3120,benign neoplasm of unspecified retina
D3130,benign neoplasm of unspecified choroid
D3140,benign neoplasm of unspecified ciliary body
D3150,benign neoplasm of unspecified lacrimal gland and duct
D3160,benign neoplasm of unspecified site of unspecified orbit
D3161,benign neoplasm of unspecified site of right orbit
D3162,benign neoplasm of unspecified site of left orbit
D3190,benign neoplasm of unspecified part of unspecified eye
D3191,benign neoplasm of unspecified part of right eye
D3192,benign neoplasm of unspecified part of left eye
D329,"benign neoplasm of meninges, unspecified"
D332,"benign neoplasm of brain, unspecified"
D339,"benign neoplasm of central nervous system, unspecified"
D3500,benign neoplasm of unspecified adrenal gland
D359,"benign neoplasm of endocrine gland, unspecified"
D3610,"benign neoplasm of peripheral nerves and autonomic nervous system, unspecified"
D3611,"benign neoplasm of peripheral nerves and autonomic nervous system of face, head, and neck"
D3617,"benign neoplasm of peripheral nerves and autonomic nervous system of trunk, unspecified"
D369,"benign neoplasm, unspecified site"
D3A00,benign carcinoid tumor of unspecified site
D3A019,"benign carcinoid tumor of the small intestine, unspecified portion"
D3A029,"benign carcinoid tumor of the large intestine, unspecified portion"
D3A094,"benign carcinoid tumor of the foregut, unspecified"
D3A095,"benign carcinoid tumor of the midgut, unspecified"
D3A096,"benign carcinoid tumor of the hindgut, unspecified"
D37039,"neoplasm of uncertain behavior of the major salivary glands, unspecified"
D379,"neoplasm of uncertain behavior of digestive organ, unspecified"
D386,"neoplasm of uncertain behavior of respiratory organ, unspecified"
D3910,neoplasm of uncertain behavior of unspecified ovary
D399,"neoplasm of uncertain behavior of female genital organ, unspecified"
D4010,neoplasm of uncertain behavior of unspecified testis
D409,"neoplasm of uncertain behavior of male genital organ, unspecified"
D4100,neoplasm of uncertain behavior of unspecified kidney
D4110,neoplasm of uncertain behavior of unspecified renal pelvis
D4120,neoplasm of uncertain behavior of unspecified ureter
D419,neoplasm of uncertain behavior of unspecified urinary organ
D429,"neoplasm of uncertain behavior of meninges, unspecified"
D432,"neoplasm of uncertain behavior of brain, unspecified"
D439,"neoplasm of uncertain behavior of central nervous system, unspecified"
D4410,neoplasm of uncertain behavior of unspecified adrenal gland
D449,neoplasm of uncertain behavior of unspecified endocrine gland
D464,"refractory anemia, unspecified"
D469,"myelodysplastic syndrome, unspecified"
D479,"neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified"
D48110,desmoid tumor of head and neck
D48119,desmoid tumor of unspecified site
D4819,other specified neoplasm of uncertain behavior of connective and other soft tissue
D4860,neoplasm of uncertain behavior of unspecified breast
D489,"neoplasm of uncertain behavior, unspecified"
D490,neoplasm of unspecified behavior of digestive system
D491,neoplasm of unspecified behavior of respiratory system
D492,"neoplasm of unspecified behavior of bone, soft tissue, and skin"
D493,neoplasm of unspecified behavior of breast
D494,neoplasm of unspecified behavior of bladder
D49511,neoplasm of unspecified behavior of right kidney
D49512,neoplasm of unspecified behavior of left kidney
D49519,neoplasm of unspecified behavior of unspecified kidney
D4959,neoplasm of unspecified behavior of other genitourinary organ
D496,neoplasm of unspecified behavior of brain
D497,neoplasm of unspecified behavior of endocrine glands and other parts of nervous system
D4981,neoplasm of unspecified behavior of retina and choroid
D4989,neoplasm of unspecified behavior of other specified sites
D499,neoplasm of unspecified behavior of unspecified site
D509,"iron deficiency anemia, unspecified"
D519,"vitamin b12 deficiency anemia, unspecified"
